source,rtos,app_guest,schema,qemu_pid,elapsed_ms,cpu_time_ms,peak_rss_kb,max_threads,sample_count,interval_ms
qemu,rtthread,linux,1,3163737,118593,111460,1323236,4,1098,100
qemu,rtthread,starryos,1,3189437,66094,66000,1378820,4,610,100
qemu,zephyr,linux,1,3200542,68240,68090,411880,4,630,100
qemu,zephyr,starryos,1,3211608,46711,46660,456408,4,431,100
rock4d,rtthread,linux,,,,,,,,
rock4d,rtthread,starryos,,,,,,,,
rock4d,zephyr,linux,,,,,,,,
rock4d,zephyr,starryos,,,,,,,,
