source,rtos,app_guest,metric,log_file,run,expected,collected,missing,p50_ns,p95_ns,p99_ns,p99_9_ns,max_ns,mean_ns
rock4d,zephyr,starryos,net_event_latency,rock4d/retry-zephyr-starryos-s2.log,1,10,10,0,334541,736458,736458,736458,1019083,443128
rock4d,zephyr,starryos,timer_jitter,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,1039583,2081500,2081500,2081500,2343583,1171849
rock4d,zephyr,starryos,callback_exec,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,0,0,0,0,291,29
rock4d,zephyr,starryos,preemption,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,291,583,583,583,583,349
rock4d,zephyr,starryos,irq,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,291,291,291,291,583,262
rock4d,zephyr,starryos,irq_to_task,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,583,583,583,583,875,612
rock4d,zephyr,starryos,mutex_inversion,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,583,583,583,583,875,612
rock4d,zephyr,starryos,mutex_inversion,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,583,583,583,583,875,612
rock4d,zephyr,starryos,wake_under_load,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,583,583,583,583,875,612
rock4d,zephyr,starryos,context_switch,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,291,291,291,291,583,320
rock4d,zephyr,starryos,scheduler_decision,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,291,291,291,291,291,291
rock4d,zephyr,starryos,scheduler_decision,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,291,291,291,2,291,291
rock4d,zephyr,starryos,scheduler_decision,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,291,291,291,291,291,291
rock4d,zephyr,starryos,sync_sem,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,583,583,583,583,875,583
rock4d,zephyr,starryos,sync_mutex,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,583,583,583,583,875,612
rock4d,zephyr,starryos,sync_mailbox,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,583,583,583,583,1458,670
rock4d,zephyr,starryos,sync_mailbox,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,583,583,583,583,1458,670
rock4d,zephyr,starryos,deadline_miss_under_load,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,232750,284958,284958,284958,290791,258533
rock4d,zephyr,starryos,net_event_latency,rock4d/retry-zephyr-starryos-s3.log,1,10,10,0,333375,356708,356708,356708,1309583,432541
