# task3_csv_schema=1
mode,frame_id,target_q15,truth_class,predicted_class,confidence_q15,inference_us,transport_retries,rtos_status,pwm,actuator_q15,rtos_processing_us,round_trip_us,error_code,duplicate,recovered
FIXED,0,0,2,2,21649,9061,0,0,0,0,359,20182,0,0,0
FIXED,1,1461,2,2,16624,7542,0,0,0,0,5565,22820,0,0,0
FIXED,2,2900,2,2,32767,7603,0,0,0,0,47,22898,0,0,0
AI,0,0,2,2,21649,11173,0,0,0,0,164,27772,0,0,0
AI,1,1461,2,2,16624,10963,0,0,0,0,1242,21648,0,0,0
AI,2,2900,2,2,32767,8275,0,0,0,0,27,26998,0,0,0
