# task3_csv_schema=1
mode,frame_id,target_q15,truth_class,predicted_class,confidence_q15,inference_us,transport_retries,rtos_status,pwm,actuator_q15,rtos_processing_us,round_trip_us,error_code,duplicate,recovered
FIXED,0,0,2,2,21649,3137,0,0,0,0,27,7513,0,0,0
FIXED,1,1461,2,2,16624,3357,0,0,0,0,27,5658,0,0,0
FIXED,2,2900,2,2,32767,2665,0,0,0,0,74,6607,0,0,0
AI,0,0,2,2,21649,3286,0,0,0,0,89,6908,0,0,0
AI,1,1461,2,2,16624,3991,0,0,0,0,83,12357,0,0,0
AI,2,2900,2,2,32767,2963,0,0,0,0,100,9304,0,0,0
