metric,scenario,p50_ns,p95_ns,p99_ns,p99_9_ns,max_ns,mean_ns,miss_100us,miss_500us,miss_1ms
stability_jitter,A_native,624,3200,10608,37280,176432,1171,15,0,0
stability_jitter,B_axvisor_rtthread,3472,14464,23056,148912,421280,5411,722,0,0
stability_jitter,C_axvisor_linux_rtthread,66960,370080,422208,443392,827280,114225,123235,19,0
callback_exec,A_native,112,176,448,8336,36672,143,0,0,0
callback_exec,B_axvisor_rtthread,464,720,2144,6656,150464,530,6,0,0
callback_exec,C_axvisor_linux_rtthread,528,720,3088,10288,172048,618,62,0,0
