# task3_csv_schema=1
mode,frame_id,target_q15,truth_class,predicted_class,confidence_q15,inference_us,transport_retries,rtos_status,pwm,actuator_q15,rtos_processing_us,round_trip_us,error_code,duplicate,recovered
FIXED,0,0,2,2,21649,908,0,0,0,0,349,2534,0,0,0
FIXED,1,1461,2,2,16624,417,0,0,0,0,84,2280,0,0,0
FIXED,2,2900,2,2,32767,413,0,0,0,0,70,2248,0,0,0
AI,0,0,2,2,21649,418,0,0,0,0,94,2869,0,0,0
AI,1,1461,2,2,16624,407,0,0,0,0,76,2968,0,0,0
AI,2,2900,2,2,32767,405,0,0,0,0,79,2891,0,0,0
