# task3_csv_schema=1
mode,frame_id,target_q15,truth_class,predicted_class,confidence_q15,inference_us,transport_retries,rtos_status,pwm,actuator_q15,rtos_processing_us,round_trip_us,error_code,duplicate,recovered
FIXED,0,0,2,2,21649,6572,0,0,0,0,26,12607,0,0,0
FIXED,1,1461,2,2,16624,5857,0,0,0,0,5436,28334,0,0,0
FIXED,2,2900,2,2,32767,4178,0,0,0,0,828,33384,0,0,0
AI,0,0,2,2,21649,6051,0,0,0,0,3767,10368,0,0,0
AI,1,1461,2,2,16624,19599,0,0,0,0,5142,17704,0,0,0
AI,2,2900,2,2,32767,10581,0,0,0,0,10075,39873,0,0,0
