# task3_csv_schema=1
mode,frame_id,target_q15,truth_class,predicted_class,confidence_q15,inference_us,transport_retries,rtos_status,pwm,actuator_q15,rtos_processing_us,round_trip_us,error_code,duplicate,recovered
FIXED,82,-9793,1,1,22590,649,0,0,0,0,8,725,0,0,0
FIXED,83,-10007,1,1,13923,664,0,0,0,0,75,618,0,0,0
FIXED,84,-10298,1,1,32767,586,0,0,0,0,6,574,0,0,0
FIXED,85,-10664,1,1,19359,649,0,0,0,0,6,812,0,0,0
FIXED,86,-11101,1,1,32767,633,0,0,0,0,9,904,0,0,0
FIXED,87,-11599,1,1,22319,677,0,0,0,0,9,922,0,0,0
FIXED,88,-12150,1,1,32767,629,0,0,0,0,9,963,0,0,0
FIXED,89,-12740,1,1,32767,588,0,0,0,0,9,1016,0,0,0
FIXED,90,-13352,1,1,32767,674,0,0,0,0,3,717,0,0,0
FIXED,91,-13972,1,1,32767,692,0,0,0,0,2,631,0,0,0
FIXED,92,-14579,1,1,32767,626,0,0,0,0,44,806,0,0,0
FIXED,93,-15155,1,1,32767,624,0,0,0,0,9,788,0,0,0
FIXED,94,-15680,1,1,32767,665,0,0,0,0,10,790,0,0,0
FIXED,95,-16136,1,1,32767,651,0,0,0,0,4,438,0,0,0
FIXED,96,-16506,1,1,21077,628,0,0,0,0,9,828,0,0,0
FIXED,97,-16771,1,1,27320,522,0,0,0,0,4,523,0,0,0
FIXED,98,-16919,1,1,32767,619,0,0,0,0,9,760,0,0,0
FIXED,99,-16937,1,1,22257,526,0,0,0,0,11,934,0,0,0
FIXED,100,-16815,1,1,24136,601,0,0,0,0,10,783,0,0,0
FIXED,101,-16548,1,1,32767,619,0,0,0,0,8,875,0,0,0
FIXED,102,-16132,1,1,19376,697,0,0,0,0,8,499,0,0,0
FIXED,103,-15567,1,1,23252,519,0,0,0,0,11,932,0,0,0
FIXED,104,-14859,1,1,32767,618,0,0,0,0,9,783,0,0,0
FIXED,105,-14013,1,1,32767,861,0,0,0,0,10,1168,0,0,0
FIXED,106,-13040,1,1,31717,863,0,0,0,0,9,1139,0,0,0
FIXED,107,-11953,1,1,32767,528,0,0,0,0,9,876,0,0,0
FIXED,108,-10768,1,1,26137,1047,0,0,0,0,10,1023,0,0,0
FIXED,109,-9502,1,1,22427,655,0,0,0,0,10,932,0,0,0
FIXED,110,-8176,1,1,18623,924,0,0,0,0,9,1049,0,0,0
FIXED,111,-6810,1,1,6455,768,0,0,0,0,10,1087,0,0,0
FIXED,112,-5425,2,2,5146,576,0,0,0,0,9,1016,0,0,0
FIXED,113,-4043,2,2,12920,997,0,0,0,0,67,1038,0,0,0
FIXED,114,-2684,2,2,32767,966,0,0,0,0,11,1629,0,0,0
FIXED,115,-1369,2,2,32767,580,0,0,0,0,42,555,0,0,0
FIXED,116,-116,2,2,31113,579,0,0,0,0,96,855,0,0,0
FIXED,117,1060,2,2,16439,522,0,0,0,0,3,397,0,0,0
FIXED,118,2144,2,2,20183,844,0,0,0,0,109,1296,0,0,0
FIXED,119,3125,2,2,10837,840,0,0,0,0,60,1381,0,0,0
FIXED,120,3996,2,2,8812,572,0,0,0,0,9,950,0,0,0
FIXED,121,4753,2,2,16693,845,0,0,0,0,10,1224,0,0,0
FIXED,122,5393,2,2,11168,855,0,0,0,0,83,979,0,0,0
FIXED,123,5918,2,3,7070,1045,0,0,0,0,86,988,0,0,0
FIXED,124,6335,3,3,11164,811,0,0,0,0,2,708,0,0,0
FIXED,125,6650,3,3,4378,831,0,0,0,0,11,1073,0,0,0
FIXED,126,6875,3,3,6356,567,0,0,0,0,8,1025,0,0,0
FIXED,127,7023,3,3,8320,524,0,0,0,0,9,714,0,0,0
FIXED,128,7109,3,3,15534,879,0,0,0,0,46,988,0,0,0
FIXED,129,7149,3,3,14192,629,0,0,0,0,55,1002,0,0,0
FIXED,130,7161,3,3,7396,1039,0,0,0,0,11,1063,0,0,0
FIXED,131,7162,3,3,11971,1042,0,0,0,0,8,660,0,0,0
FIXED,132,7169,3,3,6468,1037,0,0,0,0,10,965,0,0,0
FIXED,133,7200,3,3,13077,527,0,0,0,0,105,1040,0,0,0
FIXED,134,7269,3,3,6304,527,0,0,0,0,9,1010,0,0,0
FIXED,135,7391,3,3,6502,526,0,0,0,0,52,919,0,0,0
FIXED,136,7575,3,3,8877,849,0,0,0,0,11,1047,0,0,0
FIXED,137,7833,3,3,17849,528,0,0,0,0,9,768,0,0,0
FIXED,138,8168,3,3,25644,552,0,0,0,0,8,837,0,0,0
FIXED,139,8584,3,3,11447,1037,0,0,0,0,9,924,0,0,0
FIXED,140,9080,3,3,12400,881,0,0,0,0,46,902,0,0,0
FIXED,141,9654,3,3,32767,1044,0,0,0,0,9,745,0,0,0
FIXED,142,10297,3,3,32767,528,0,0,0,0,9,800,0,0,0
FIXED,143,11001,3,3,32767,1050,0,0,0,0,8,864,0,0,0
FIXED,144,11753,3,3,32767,523,0,0,0,0,8,691,0,0,0
FIXED,145,12538,3,3,21355,639,0,0,0,0,11,959,0,0,0
FIXED,146,13340,3,3,32767,678,0,0,0,0,84,916,0,0,0
FIXED,147,14139,3,3,24204,520,0,0,0,0,3,399,0,0,0
FIXED,148,14918,3,3,32767,676,0,0,0,0,10,1002,0,0,0
FIXED,149,15655,3,3,32767,630,0,0,0,0,61,1058,0,0,0
FIXED,150,16333,3,3,32767,622,0,0,0,0,3,597,0,0,0
FIXED,151,16930,3,3,32767,519,0,0,0,0,4,836,0,0,0
FIXED,152,17431,3,3,32767,1056,0,0,0,0,9,638,0,0,0
FIXED,153,17818,3,3,32767,630,0,0,0,0,9,945,0,0,0
FIXED,154,18078,3,3,32767,630,0,0,0,0,12,944,0,0,0
FIXED,155,18200,3,3,32767,622,0,0,0,0,4,495,0,0,0
FIXED,156,18176,3,3,32767,621,0,0,0,0,4,483,0,0,0
