# task3_csv_schema=1
mode,frame_id,target_q15,truth_class,predicted_class,confidence_q15,inference_us,transport_retries,rtos_status,pwm,actuator_q15,rtos_processing_us,round_trip_us,error_code,duplicate,recovered
FIXED,0,0,2,2,21649,13589,0,0,0,0,169,3267,0,0,0
FIXED,1,1461,2,2,16624,411,0,0,0,0,102,2393,0,0,0
FIXED,2,2900,2,2,32767,412,0,0,0,0,85,2339,0,0,0
AI,0,0,2,2,21649,1223,0,0,0,0,106,2225,0,0,0
AI,1,1461,2,2,16624,1314,0,0,0,0,86,2242,0,0,0
AI,2,2900,2,2,32767,1082,0,0,0,0,82,2236,0,0,0
