metric,scenario,p50_ns,p95_ns,p99_ns,p99_9_ns,max_ns,mean_ns,miss_100us,miss_500us,miss_1ms
stability_jitter,A_native,432,2800,10640,36560,189200,987,4,0,0
stability_jitter,B_axvisor_rtthread,2432,9248,18096,136544,463584,3661,492,0,0
stability_jitter,C_axvisor_linux_rtthread,44912,319936,417744,451040,2569920,87744,92534,44,3
callback_exec,A_native,112,176,416,9472,35952,153,0,0,0
callback_exec,B_axvisor_rtthread,464,544,672,1088,134528,476,4,0,0
callback_exec,C_axvisor_linux_rtthread,512,624,832,4080,154912,582,108,0,0
